start_month,lead_time,ensemble,variable,correlation
1,0,0,T2MAX,-0.31336059746991723
1,0,0,T2MIN,-0.06751815985516338
1,0,1,T2MAX,-0.2578849459307867
1,0,1,T2MIN,0.11339774732863125
1,0,2,T2MAX,0.3393191168913576
1,0,2,T2MIN,0.33136916746681955
1,0,3,T2MAX,-0.11152664680852317
1,0,3,T2MIN,0.15684195134371223
1,0,4,T2MAX,0.17954744814815504
1,0,4,T2MIN,0.3931471595028836
1,0,5,T2MAX,0.6140398705754396
1,0,5,T2MIN,0.641841885289139
1,0,6,T2MAX,0.26203027052188094
1,0,6,T2MIN,0.2733065918535625
1,0,7,T2MAX,-0.05385271365369379
1,0,7,T2MIN,0.2075289372815418
1,0,8,T2MAX,-0.6293939218542975
1,0,8,T2MIN,-0.22282514972270148
1,0,9,T2MAX,-0.12478154643101493
1,0,9,T2MIN,0.03945554883723903
1,0,10,T2MAX,0.11173987761267663
1,0,10,T2MIN,0.35149470678667744
1,0,11,T2MAX,0.0052420110564724235
1,0,11,T2MIN,0.17390493992572026
1,0,12,T2MAX,0.3198299758760432
1,0,12,T2MIN,0.4511734327140051
1,0,13,T2MAX,-0.49318012163246305
1,0,13,T2MIN,-0.48713132255812447
1,0,14,T2MAX,-0.0070988772130405305
1,0,14,T2MIN,0.07903413960776459
1,0,15,T2MAX,0.5489497656794106
1,0,15,T2MIN,0.5897344198721486
1,0,16,T2MAX,0.41079231892370405
1,0,16,T2MIN,0.4793655009958756
1,0,17,T2MAX,-0.690420097686704
1,0,17,T2MIN,-0.5985909864757146
1,0,18,T2MAX,-0.5579113100379649
1,0,18,T2MIN,-0.2523742758938514
1,0,19,T2MAX,0.1757611539343322
1,0,19,T2MIN,0.3410696769392823
1,0,20,T2MAX,-0.2626696986239399
1,0,20,T2MIN,0.14272259568225287
1,0,21,T2MAX,-0.13865697631918592
1,0,21,T2MIN,0.17357430267823537
1,0,22,T2MAX,-0.3131007988238161
1,0,22,T2MIN,0.024191797095492264
1,0,23,T2MAX,-0.15746580328246798
1,0,23,T2MIN,0.045405076596532784
1,0,24,T2MAX,-0.3183518306254651
1,0,24,T2MIN,-0.011376509016983102
1,0,25,T2MAX,-0.2438746244957392
1,0,25,T2MIN,0.07524525465948202
1,0,26,T2MAX,-0.5293283345537074
1,0,26,T2MIN,-0.26137109623749727
1,0,27,T2MAX,-0.7118124734346134
1,0,27,T2MIN,-0.3309866943964012
1,0,28,T2MAX,0.5641616880582329
1,0,28,T2MIN,0.4476810513760255
1,0,29,T2MAX,-0.20082236905182865
1,0,29,T2MIN,0.03470480366386707
1,0,30,T2MAX,-0.06605906048644876
1,0,30,T2MIN,0.08917923778406103
1,0,31,T2MAX,-0.28226419269397873
1,0,31,T2MIN,0.028729748885673242
1,0,32,T2MAX,-0.08698123169519742
1,0,32,T2MIN,0.07468334320009803
1,0,33,T2MAX,-0.6011641520235673
1,0,33,T2MIN,-0.22825488070682518
1,0,34,T2MAX,-0.4013121326898323
